baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,124,98,1.7898613071536187e-07,1.0692258987152722e-07,7.206354084383465e-08,2.432921681894129e-08,2.6404627373466383e-08,1.7898321402753936e-07,1.0676933470676886e-07,1.629560799403568e-05,0.0014333282138274752
first_order_signed,124,98,1.7898613071536187e-07,1.0692258987152722e-07,7.206354084383465e-08,2.432921681894129e-08,2.6404627373466383e-08,1.7898321402753936e-07,1.0676933470676886e-07,1.629560799403568e-05,0.0014333282138274752
first_order_abs,102,84,2.652157119467927e-07,2.0099846921319143e-07,6.421724273360129e-08,3.5007076792936687e-08,3.532960430874254e-08,2.6525256657805585e-07,2.0089188979000028e-07,0.00013896096499184206,0.0005302499248295883
first_order_signed,102,84,2.652157119467927e-07,2.0099846921319143e-07,6.421724273360129e-08,3.5007076792936687e-08,3.532960430874254e-08,2.6525256657805585e-07,2.0089188979000028e-07,0.00013896096499184206,0.0005302499248295883
first_order_abs,34,98,1.612696370968909e-07,1.0692258987152722e-07,5.434704722536368e-08,2.6177402778770895e-08,2.6404627373466383e-08,1.6115104983782658e-07,1.0676933470676886e-07,0.0007353353129521718,0.0014333282138274752
first_order_signed,34,98,1.612696370968909e-07,1.0692258987152722e-07,5.434704722536368e-08,2.6177402778770895e-08,2.6404627373466383e-08,1.6115104983782658e-07,1.0676933470676886e-07,0.0007353353129521718,0.0014333282138274752
first_order_abs,79,50,1.2302294417981364e-07,7.102180668059992e-08,5.200113749921373e-08,1.5317005086501465e-08,1.5356485061346346e-08,1.2302251661822083e-07,7.090638831641627e-08,3.475462204720315e-06,0.0016251116323006036
first_order_signed,79,50,1.2302294417981364e-07,7.102180668059992e-08,5.200113749921373e-08,1.5317005086501465e-08,1.5356485061346346e-08,1.2302251661822083e-07,7.090638831641627e-08,3.475462204720315e-06,0.0016251116323006036
first_order_abs,35,114,3.8423935742571876e-07,3.323825035544902e-07,5.185685387122856e-08,5.319737859110773e-08,6.046135645476624e-08,3.8223680576265906e-07,3.305815141629864e-07,0.005211729679323219,0.005418424171681857
first_order_signed,35,114,3.8423935742571876e-07,3.323825035544902e-07,5.185685387122856e-08,5.319737859110773e-08,6.046135645476624e-08,3.8223680576265906e-07,3.305815141629864e-07,0.005211729679323219,0.005418424171681857
first_order_abs,125,16,4.1059475948358125e-07,3.6133281701343815e-07,4.9261942470143106e-08,5.598136905149431e-08,6.202242452957307e-08,4.105474999960279e-07,3.5923275731875037e-07,0.00011510007485916863,0.005811981629694241
first_order_signed,125,16,4.1059475948358125e-07,3.6133281701343815e-07,4.9261942470143106e-08,5.598136905149431e-08,6.202242452957307e-08,4.105474999960279e-07,3.5923275731875037e-07,0.00011510007485916863,0.005811981629694241
first_order_abs,19,75,1.854147713277629e-07,1.3793495141328e-07,4.74798199144829e-08,2.1798215454893466e-08,2.249351442884517e-08,1.8540910673436883e-07,1.3790193520435423e-07,3.0550928351109904e-05,0.00023936071740694417
first_order_signed,19,75,1.854147713277629e-07,1.3793495141328e-07,4.74798199144829e-08,2.1798215454893466e-08,2.249351442884517e-08,1.8540910673436883e-07,1.3790193520435423e-07,3.0550928351109904e-05,0.00023936071740694417
first_order_abs,1,98,1.4977038176988643e-07,1.0692258987152722e-07,4.284779189835921e-08,2.4052898339732565e-08,2.6404627373466383e-08,1.4977132423155126e-07,1.0676933470676886e-07,6.2927105726177815e-06,0.0014333282138274752
first_order_signed,1,98,1.4977038176988643e-07,1.0692258987152722e-07,4.284779189835921e-08,2.4052898339732565e-08,2.6404627373466383e-08,1.4977132423155126e-07,1.0676933470676886e-07,6.2927105726177815e-06,0.0014333282138274752
first_order_abs,85,53,8.524151710702273e-08,4.529262818169316e-08,3.994888892532957e-08,9.493916364178289e-09,9.662174127456068e-09,8.523826977580029e-08,4.528903829736919e-08,3.809565259570081e-05,7.92597927762417e-05
first_order_signed,85,53,8.524151710702273e-08,4.529262818169316e-08,3.994888892532957e-08,9.493916364178289e-09,9.662174127456068e-09,8.523826977580029e-08,4.528903829736919e-08,3.809565259570081e-05,7.92597927762417e-05
first_order_abs,7,110,1.2456171764452725e-07,8.632561303170921e-08,3.8236104612818046e-08,1.7722442580136998e-08,1.8151225145146554e-08,1.2450220765458653e-07,8.62886224695103e-08,0.000477755052403469,0.00042850042878143186
first_order_signed,7,110,1.2456171764452725e-07,8.632561303170921e-08,3.8236104612818046e-08,1.7722442580136998e-08,1.8151225145146554e-08,1.2450220765458653e-07,8.62886224695103e-08,0.000477755052403469,0.00042850042878143186
first_order_abs,13,1,1.8799617258767294e-07,1.4977038176988643e-07,3.822579081778651e-08,2.273276020758885e-08,2.4052898339732565e-08,1.8807284618560516e-07,1.4977132423155126e-07,0.0004078465900493794,6.2927105726177815e-06
first_order_signed,13,1,1.8799617258767294e-07,1.4977038176988643e-07,3.822579081778651e-08,2.273276020758885e-08,2.4052898339732565e-08,1.8807284618560516e-07,1.4977132423155126e-07,0.0004078465900493794,6.2927105726177815e-06
first_order_abs,108,53,8.226436222415004e-08,4.529262818169316e-08,3.697173404245688e-08,9.022701896732599e-09,9.662174127456068e-09,8.233610060415231e-08,4.528903829736919e-08,0.0008720468750100524,7.92597927762417e-05
first_order_signed,108,53,8.226436222415004e-08,4.529262818169316e-08,3.697173404245688e-08,9.022701896732599e-09,9.662174127456068e-09,8.233610060415231e-08,4.528903829736919e-08,0.0008720468750100524,7.92597927762417e-05
first_order_abs,79,107,1.2302294417981364e-07,8.606169340408391e-08,3.696125077572973e-08,1.5317005086501465e-08,1.663169879595472e-08,1.2302251661822083e-07,8.602605561236487e-08,3.475462204720315e-06,0.0004140958690147303
first_order_signed,79,107,1.2302294417981364e-07,8.606169340408391e-08,3.696125077572973e-08,1.5317005086501465e-08,1.663169879595472e-08,1.2302251661822083e-07,8.602605561236487e-08,3.475462204720315e-06,0.0004140958690147303
first_order_abs,79,110,1.2302294417981364e-07,8.632561303170921e-08,3.6697331148104436e-08,1.5317005086501465e-08,1.8151225145146554e-08,1.2302251661822083e-07,8.62886224695103e-08,3.475462204720315e-06,0.00042850042878143186
first_order_signed,79,110,1.2302294417981364e-07,8.632561303170921e-08,3.6697331148104436e-08,1.5317005086501465e-08,1.8151225145146554e-08,1.2302251661822083e-07,8.62886224695103e-08,3.475462204720315e-06,0.00042850042878143186
first_order_abs,19,1,1.854147713277629e-07,1.4977038176988643e-07,3.564438955787647e-08,2.1798215454893466e-08,2.4052898339732565e-08,1.8540910673436883e-07,1.4977132423155126e-07,3.0550928351109904e-05,6.2927105726177815e-06
first_order_signed,19,1,1.854147713277629e-07,1.4977038176988643e-07,3.564438955787647e-08,2.1798215454893466e-08,2.4052898339732565e-08,1.8540910673436883e-07,1.4977132423155126e-07,3.0550928351109904e-05,6.2927105726177815e-06
first_order_abs,112,61,9.327017850629176e-08,6.004634727754968e-08,3.3223831228742084e-08,1.151465867099688e-08,1.2295768159198417e-08,9.327463601493946e-08,6.004147223848122e-08,4.779135967236615e-05,8.11879371433461e-05
first_order_signed,112,61,9.327017850629176e-08,6.004634727754968e-08,3.3223831228742084e-08,1.151465867099688e-08,1.2295768159198417e-08,9.327463601493946e-08,6.004147223848122e-08,4.779135967236615e-05,8.11879371433461e-05
