baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_signed,82,104,5.469287695676489e-07,4.6950276154371635e-07,7.74260080239326e-08,7.393014520573615e-08,9.410222698846837e-08,5.469287884807272e-07,4.6950276555435266e-07,3.458051457775735e-08,8.542306119608046e-09
first_order_abs,108,53,1.744410628610865e-07,9.752400249585814e-08,7.691706036522836e-08,2.357083679349614e-08,2.5503542300242542e-08,1.7444106958919292e-07,9.752397289730652e-08,3.856951058105276e-08,3.035001729349403e-07
first_order_signed,108,53,1.744410628610865e-07,9.752400249585814e-08,7.691706036522836e-08,2.357083679349614e-08,2.5503542300242542e-08,1.7444106958919292e-07,9.752397289730652e-08,3.856951058105276e-08,3.035001729349403e-07
first_order_abs,33,110,2.627755622723985e-07,1.8698696004591304e-07,7.578860222648547e-08,4.408899316743486e-08,4.9258698009424506e-08,2.627755861794867e-07,1.869869379333977e-07,9.097911536865062e-08,1.1825699142521454e-07
first_order_signed,33,110,2.627755622723985e-07,1.8698696004591304e-07,7.578860222648547e-08,4.408899316743486e-08,4.9258698009424506e-08,2.627755861794867e-07,1.869869379333977e-07,9.097911536865062e-08,1.1825699142521454e-07
first_order_abs,81,50,2.497844250751869e-07,1.741873628227445e-07,7.559706225244239e-08,4.650052858323761e-08,4.7874379394130526e-08,2.497844491244905e-07,1.74187334778253e-07,9.628023681332198e-08,1.6100187211350373e-07
first_order_signed,81,50,2.497844250751869e-07,1.741873628227445e-07,7.559706225244239e-08,4.650052858323761e-08,4.7874379394130526e-08,2.497844491244905e-07,1.74187334778253e-07,9.628023681332198e-08,1.6100187211350373e-07
first_order_abs,67,53,1.7300469204299645e-07,9.752400249585814e-08,7.548068954713831e-08,2.4159216671648662e-08,2.5503542300242542e-08,1.7300469323799916e-07,9.752397289730652e-08,6.907342783729391e-09,3.035001729349403e-07
first_order_signed,67,53,1.7300469204299645e-07,9.752400249585814e-08,7.548068954713831e-08,2.4159216671648662e-08,2.5503542300242542e-08,1.7300469323799916e-07,9.752397289730652e-08,6.907342783729391e-09,3.035001729349403e-07
first_order_abs,60,63,4.179945675902392e-07,3.4258157009361574e-07,7.541299749662344e-08,7.147261928963643e-08,7.150470953121157e-08,4.1799464156611066e-07,3.425816146318539e-07,1.7697806912327982e-07,1.300076887620298e-07
first_order_signed,60,63,4.179945675902392e-07,3.4258157009361574e-07,7.541299749662344e-08,7.147261928963643e-08,7.150470953121157e-08,4.1799464156611066e-07,3.425816146318539e-07,1.7697806912327982e-07,1.300076887620298e-07
first_order_abs,89,32,1.5566180091105214e-07,8.18308618724767e-08,7.383093903857544e-08,1.697718992055286e-08,1.725679319442008e-08,1.5566179456527607e-07,8.183085498103537e-08,4.076643106433669e-08,8.421567577073036e-08
first_order_signed,89,32,1.5566180091105214e-07,8.18308618724767e-08,7.383093903857544e-08,1.697718992055286e-08,1.725679319442008e-08,1.5566179456527607e-07,8.183085498103537e-08,4.076643106433669e-08,8.421567577073036e-08
first_order_abs,4,78,1.7896841646260672e-07,1.0625910043879313e-07,7.270931602381359e-08,2.06474083608299e-08,2.144905604239966e-08,1.7896843473863555e-07,1.0625905133565539e-07,1.0211873800997768e-07,4.621075986800345e-07
first_order_signed,4,78,1.7896841646260672e-07,1.0625910043879313e-07,7.270931602381359e-08,2.06474083608299e-08,2.144905604239966e-08,1.7896843473863555e-07,1.0625905133565539e-07,1.0211873800997768e-07,4.621075986800345e-07
first_order_abs,126,98,3.198957817688046e-07,2.478818965778365e-07,7.201388519096806e-08,5.73997624542244e-08,7.257282046424507e-08,3.1989580406843743e-07,2.4788189989521925e-07,6.970905563823671e-08,1.338291651234561e-08
first_order_signed,126,98,3.198957817688046e-07,2.478818965778365e-07,7.201388519096806e-08,5.73997624542244e-08,7.257282046424507e-08,3.1989580406843743e-07,2.4788189989521925e-07,6.970905563823671e-08,1.338291651234561e-08
first_order_abs,79,17,2.519509133831503e-07,1.7999261579325585e-07,7.195829758989442e-08,3.6907157952015264e-08,3.729928295115314e-08,2.5195089392582304e-07,1.7999262524881487e-07,7.722665886699252e-08,5.2533038535182425e-08
first_order_signed,79,17,2.519509133831503e-07,1.7999261579325585e-07,7.195829758989442e-08,3.6907157952015264e-08,3.729928295115314e-08,2.5195089392582304e-07,1.7999262524881487e-07,7.722665886699252e-08,5.2533038535182425e-08
first_order_abs,124,75,3.578021449615475e-07,2.859781145701995e-07,7.182403039134799e-08,5.0553060670921465e-08,5.731249981266728e-08,3.57802150574571e-07,2.8597813184205734e-07,1.5687506544418293e-08,6.039573291524639e-08
first_order_signed,124,75,3.578021449615475e-07,2.859781145701995e-07,7.182403039134799e-08,5.0553060670921465e-08,5.731249981266728e-08,3.57802150574571e-07,2.8597813184205734e-07,1.5687506544418293e-08,6.039573291524639e-08
