layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,29,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.268359772765848e-08,1.2049417841275555e-08,1.2049417841275555e-08,8.574878762601656e-08,8.574878762601656e-08,8.574879359306396e-08,8.574879359306396e-08,8.943769619943727e-08,2.008994130370466e-07
0,30,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.0513279075373703e-08,1.9487615121605018e-08,1.9487615121605018e-08,1.395148103711108e-07,1.395148245819655e-07,1.3951483361448216e-07,1.3951483361448216e-07,1.4539974309590275e-07,2.568614599335121e-07
0,31,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-3.59270622141139e-08,3.4130709103408204e-08,3.4130709103408204e-08,1.8202095475317037e-07,1.8202095475317037e-07,1.8202093513810045e-07,1.8202093513810045e-07,1.984046400154983e-07,3.0986635685310763e-07
0,32,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.8165045467810614e-08,1.725679319442008e-08,1.725679319442008e-08,8.183085498103537e-08,8.183086208646273e-08,8.18308618724767e-08,8.18308618724767e-08,9.110915710262932e-08,2.0257087394023864e-07
0,33,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-4.64094664920367e-08,4.408899316743486e-08,4.408899316743486e-08,2.627755861794867e-07,2.627755861794867e-07,2.627755622723985e-07,2.627755622723985e-07,2.812439536928296e-07,3.927056705304389e-07
0,34,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-6.905751703811802e-08,6.560464118621211e-08,6.560464118621211e-08,3.5146302934663254e-07,3.5146302934663254e-07,3.5146302239652117e-07,3.5146302239652117e-07,3.8280002792944624e-07,4.942617447670556e-07
0,35,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.2481452671408988e-07,1.1857380037838538e-07,1.1857380037838538e-07,8.14878546862019e-07,8.148786037054379e-07,8.148785343427128e-07,8.148785343427128e-07,8.54001697804625e-07,9.654634146422343e-07
0,36,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-4.26850110812893e-09,4.055076052722484e-09,4.055076052722484e-09,2.6429461286170408e-08,2.6429461286170408e-08,2.6429463528887935e-08,2.6429463528887935e-08,2.790766974419733e-08,1.3936938658180666e-07
0,37,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.7361522825231077e-08,2.5993446683969523e-08,2.5993446683969523e-08,1.6034735494940833e-07,1.6034735494940833e-07,1.6034734217338941e-07,1.6034734217338941e-07,1.7070697482441066e-07,2.8216869166202e-07
0,38,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-7.619803454872454e-09,7.23881328212883e-09,7.23881328212883e-09,4.9461529982863794e-08,4.9461529982863794e-08,4.9461530364370445e-08,4.9461530364370445e-08,5.187784024291473e-08,1.6333955708052405e-07
0,39,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.4429934136472866e-08,1.3708437429649222e-08,1.3708437429649222e-08,8.870800627391873e-08,8.870800627391873e-08,8.870800678502373e-08,8.870800678502373e-08,9.376739683556318e-08,2.052291136731725e-07
0,40,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.3452749076113832e-08,2.228011162230814e-08,2.228011162230814e-08,1.6867829799593892e-07,1.6867829799593892e-07,1.686782990410953e-07,1.686782990410953e-07,1.7451229300744372e-07,2.8597400984505306e-07
0,41,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.1342457195695488e-08,1.0775334335910712e-08,1.0775334335910712e-08,5.190778651353867e-08,5.190778296082499e-08,5.190778471575686e-08,5.190778471575686e-08,5.7622110420532774e-08,1.690838272581421e-07
0,42,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.5303828426738164e-08,1.4538637005401255e-08,1.4538637005401255e-08,1.0567381281134658e-07,1.0567381991677394e-07,1.0567381538888496e-07,1.0567381538888496e-07,1.0990924781695674e-07,2.2137096465456608e-07
0,43,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-8.142197804872353e-09,7.735087914628735e-09,7.735087914628735e-09,2.8025247900131944e-08,2.8025247900131944e-08,2.8025249030131494e-08,2.8025249030131494e-08,3.3027871862548055e-08,1.4448958870015736e-07
0,44,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.6737645935904766e-08,1.5900763639109528e-08,1.5900763639109528e-08,9.374412002216559e-08,9.374412712759295e-08,9.374412206434479e-08,9.374412206434479e-08,1.0050484258275977e-07,2.1196655942036908e-07
0,45,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.783618135993038e-08,2.6444372291933857e-08,2.6444372291933857e-08,1.2548346717267123e-07,1.2548346717267123e-07,1.254834684071946e-07,1.254834684071946e-07,1.3969325411748522e-07,2.5115497095509455e-07
0,46,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.3485091265863502e-08,1.2810836702570327e-08,1.2810836702570327e-08,9.227011332768598e-08,9.227012043311333e-08,9.22701169374705e-08,9.22701169374705e-08,9.608461648260327e-08,2.075463333202126e-07
0,47,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-7.788524492013948e-09,7.399098267413251e-09,7.399098267413251e-09,6.234684235550958e-08,6.234683525008222e-08,6.234683585117846e-08,6.234683585117846e-08,6.36671124738265e-08,1.7512882931143582e-07
0,48,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-6.0282991931615015e-09,5.726884233503426e-09,5.726884233503426e-09,3.659155822788307e-08,3.659155822788307e-08,3.659155429064017e-08,3.659155429064017e-08,3.8750747808164666e-08,1.5021246464577399e-07
0,49,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.6420795329329394e-08,2.5099755562862924e-08,2.5099755562862924e-08,1.1627000873204452e-07,1.1627000873204452e-07,1.1626997167262457e-07,1.1626997167262457e-07,1.3003342706575162e-07,2.4149514390336095e-07
